Date,ShortWave,LongWave,AirTemp,RelHum,WindSpeed,Rain,Snow
2010-01-01 00:00:00,0.0,226.436802328,-13.37000122,85.72024915610001,4.987008939,0.0,0
2010-01-01 01:00:00,0.0,204.873706499,-13.42999878,87.317116073,4.92538142555,0.0,0
2010-01-01 02:00:00,0.0,204.873706499,-13.73999634,88.4813401522,4.8448658326,0.0,0
2010-01-01 03:00:00,0.0,204.873706499,-14.04996338,89.6682952087,4.77155957075,0.0,0
2010-01-01 04:00:00,0.0,200.508706499,-14.3699707,90.93263535999999,4.69847838975,0.0,0
2010-01-01 05:00:00,0.0,200.508706499,-14.47000732,90.6900548791,4.59268301565,0.0,0
2010-01-01 06:00:00,0.0,200.508706499,-14.57001343,90.414794208,4.48108047555,0.0,0
2010-01-01 07:00:00,0.0,208.520901164,-14.67999878,90.22301772520001,4.38274543755,0.0,0
2010-01-01 08:00:00,0.0,208.520901164,-14.53000488,89.7401757569,4.32869533665,0.0,0
2010-01-01 09:00:00,45.151599886,208.520901164,-14.38001099,89.2849356874,4.27530568745,0.0,0
2010-01-01 10:00:00,98.86080285,228.28950591699999,-14.22998657,88.8360063867,4.2321210286,0.0,0
2010-01-01 11:00:00,150.19119335,228.28950591699999,-13.8699707,88.7346966785,4.32244855065,0.0,0
2010-01-01 12:00:00,191.49055019,228.28950591699999,-13.50998535,88.6082605838,4.4899716481,0.0,0
2010-01-01 13:00:00,230.391148385,222.653793501,-13.15,88.4113971679,4.7264892974,0.0,0
2010-01-01 14:00:00,209.65264667499997,222.653793501,-12.7999939,87.275227003,4.68100039735,0.0,0
2010-01-01 15:00:00,174.17489544,222.653793501,-12.44998779,86.1561151419,4.630378493499999,0.0,0
2010-01-01 16:00:00,109.485601045,225.146700582,-12.10001221,85.05993288330001,4.59177044885,0.0,0
2010-01-01 17:00:00,36.799200057,225.146700582,-12.60001221,86.507889672,4.67016010425,0.0,0
2010-01-01 18:00:00,0.0,225.146700582,-13.10001221,87.9625600728,4.7551784923,0.0,0
2010-01-01 19:00:00,0.0,202.516598836,-13.60999146,89.4807229181,4.8536787278,0.0,0
2010-01-01 20:00:00,0.0,202.516598836,-14.32999268,89.1707580141,4.91838689455,0.0,0
2010-01-01 21:00:00,0.0,202.516598836,-15.06000366,88.60640253589999,4.9929739483,0.0,0
2010-01-01 22:00:00,0.0,157.489200582,-15.79001465,87.66254333110001,5.08355437425,0.0,0
2010-01-01 23:00:00,0.0,157.489200582,-16.8699707,88.6342503472,4.77121899275,0.0,0
2010-01-02 00:00:00,0.0,157.489200582,-17.95999756,89.2289062212,4.46955326345,0.0,0
