Year,CurrentSpeed,Upwelling,TidalRange
1995,0.4512731048486393,40.09416854258033,1.9727144465470212
1996,0.522248101381219,49.1250100447054,1.9095146801235856
1997,0.4321908400888916,42.11003730594992,1.6171009614566356
1998,0.4809382357679546,47.50162666560218,1.9952109538546392
1999,0.547498172583565,59.12115915435532,2.211078326480223
2000,0.4755095129998442,49.17692624762894,2.0091456213831886
2001,0.47105109684812707,49.43867840132259,1.768641091266416
2002,0.5477169127812227,58.93959194655484,1.8768335636122513
2003,0.6095224130765589,66.41788171362136,1.7601244013597617
2004,0.4632190031576309,45.86301958462019,1.6896745464594867
2005,0.45832284332986917,42.10397588771565,2.226462051661689
2006,0.5001138442952998,46.031010030748796,2.0262024809398325
2007,0.5186515190937,52.30739632051729,2.0695141254097904
2008,0.4850055611591344,45.006354721715844,1.669033693623026
2009,0.531247126526638,54.41850779608458,2.0816238858979244
2010,0.5406100249806775,59.231094863323,2.1047443600816074
2011,0.4524524790456135,42.71529096616875,2.1879415449336332
2012,0.583687325677356,64.28012643374824,1.842747899730323
2013,0.4636045837700097,41.00995489420602,1.807801955968352
2014,0.5200603115177008,51.71115361373914,2.1915097175238323
